Time (sec.)	Cycles	"speed_target"	"speed_actual"	"speed_error"
0.000000000	0	0.000000000	0.000000000	0.000000000
0.000000000	0	0.000000000	0.000000000	0.000000000
0.000000000	0	0.000000000	0.000000000	0.000000000
1.048596887	176164277	90.000000000	0.000000000	0.000000000
1.048596887	176164277	90.000000000	0.000000000	0.000000000
1.048641357	176171748	90.000000000	0.000000000	-137.000000000
1.098597363	184564357	90.000000000	0.000000000	-137.000000000
1.098597363	184564357	90.000000000	1.454545379	-137.000000000
1.098641357	184571748	90.000000000	1.454545379	-136.000000000
1.148597327	192964351	90.000000000	1.454545379	-136.000000000
1.148597327	192964351	90.000000000	5.847271919	-136.000000000
1.148641357	192971748	90.000000000	5.847271919	-132.000000000
1.198597321	201364350	90.000000000	5.847271919	-132.000000000
1.198597321	201364350	90.000000000	13.949672699	-132.000000000
1.198656357	201374268	90.000000000	13.949672699	-121.000000000
1.248597274	209764342	90.000000000	13.949672699	-121.000000000
1.248597274	209764342	90.000000000	26.890193939	-121.000000000
1.248641357	209771748	90.000000000	26.890193939	-82.030311584
1.298598024	218164468	90.000000000	26.890193939	-82.030311584
1.298598024	218164468	90.000000000	40.891990662	-82.030311584
1.298641357	218171748	90.000000000	40.891990662	-63.030311584
1.348597304	226564347	90.000000000	40.891990662	-63.030311584
1.348597304	226564347	90.000000000	53.991104126	-63.030311584
1.348641357	226571748	90.000000000	53.991104126	-27.330684662
1.398597387	234964361	90.000000000	53.991104126	-27.330684662
1.398597387	234964361	90.000000000	65.893554688	-27.330684662
1.398641357	234971748	90.000000000	65.893554688	1.584056854
1.448597845	243364438	90.000000000	65.893554688	1.584056854
1.448597845	243364438	90.000000000	73.537376404	1.584056854
1.448641357	243371748	90.000000000	73.537376404	13.403823853
1.498597339	251764353	90.000000000	73.537376404	13.403823853
1.498597339	251764353	90.000000000	78.239433289	13.403823853
1.498641357	251771748	90.000000000	78.239433289	17.747116089
1.548597423	260164367	90.000000000	78.239433289	17.747116089
1.548597423	260164367	90.000000000	81.411773682	17.747116089
1.548641357	260171748	90.000000000	81.411773682	19.067543030
1.598597429	268564368	90.000000000	81.411773682	19.067543030
1.598597429	268564368	90.000000000	83.061393738	19.067543030
1.598641357	268571748	90.000000000	83.061393738	21.067543030
1.648597327	276964351	90.000000000	83.061393738	21.067543030
1.648597327	276964351	90.000000000	82.464653015	21.067543030
1.648641357	276971748	90.000000000	82.464653015	15.532566071
1.698597905	285364448	90.000000000	82.464653015	15.532566071
1.698597905	285364448	90.000000000	82.154342651	15.532566071
1.698641357	285371748	90.000000000	82.154342651	11.020996094
1.748597470	293764375	90.000000000	82.154342651	11.020996094
1.748597470	293764375	90.000000000	80.538436890	11.020996094
1.748641357	293771748	90.000000000	80.538436890	4.240098953
1.798597417	302164366	90.000000000	80.538436890	4.240098953
1.798597417	302164366	90.000000000	78.970893860	4.240098953
1.798641357	302171748	90.000000000	78.970893860	-0.312467575
1.848597857	310564440	90.000000000	78.970893860	-0.312467575
1.848597857	310564440	90.000000000	75.973953247	-0.312467575
1.848641357	310571748	90.000000000	75.973953247	-5.065013885
1.898597315	318964349	90.000000000	75.973953247	-5.065013885
1.898597315	318964349	90.000000000	74.415542603	-5.065013885
1.898641357	318971748	90.000000000	74.415542603	-8.065013885
1.948597304	327364347	90.000000000	74.415542603	-8.065013885
1.948597304	327364347	90.000000000	73.605163574	-8.065013885
1.948641357	327371748	90.000000000	73.605163574	-9.442258835
1.998597363	335764357	90.000000000	73.605163574	-9.442258835
1.998597363	335764357	90.000000000	73.911048889	-9.442258835
1.998641357	335771748	90.000000000	73.911048889	-7.994319916
2.048597429	344164368	90.000000000	73.911048889	-7.994319916
2.048597429	344164368	90.000000000	75.524650574	-7.994319916
2.048636357	344170908	90.000000000	75.524650574	-4.409587860
2.098597946	352564455	90.000000000	75.524650574	-4.409587860
2.098597946	352564455	90.000000000	77.090995789	-4.409587860
2.098641357	352571748	90.000000000	77.090995789	-1.995723724
2.148597429	360964368	90.000000000	77.090995789	-1.995723724
2.148597429	360964368	90.000000000	77.905494690	-1.995723724
2.148641357	360971748	90.000000000	77.905494690	-1.642700195
2.198597339	369364353	90.000000000	77.905494690	-1.642700195
2.198597339	369364353	90.000000000	79.783584595	-1.642700195
2.198641357	369371748	90.000000000	79.783584595	1.506420135
2.248597810	377764432	90.000000000	79.783584595	1.506420135
2.248597810	377764432	90.000000000	80.760192871	1.506420135
2.248651357	377773428	90.000000000	80.760192871	2.506420135
2.298597423	386164367	90.000000000	80.760192871	2.506420135
2.298597423	386164367	90.000000000	80.540756226	2.506420135
2.298641357	386171748	90.000000000	80.540756226	2.237579346
2.348597911	394564449	90.000000000	80.540756226	2.237579346
2.348597911	394564449	90.000000000	81.153915405	2.237579346
2.348641357	394571748	90.000000000	81.153915405	1.360305786
2.398597411	402964365	90.000000000	81.153915405	1.360305786
2.398597411	402964365	90.000000000	80.745491028	1.360305786
2.398641357	402971748	90.000000000	80.745491028	0.654949188
2.448597381	411364360	90.000000000	80.745491028	0.654949188
2.448597381	411364360	90.000000000	80.533111572	0.654949188
2.448656357	411374268	90.000000000	80.533111572	-0.231287003
2.498597935	419764453	90.000000000	80.533111572	-0.231287003
2.498597935	419764453	90.000000000	81.149948120	-0.231287003
2.498641357	419771748	90.000000000	81.149948120	0.478984833
2.548597435	428164369	90.000000000	81.149948120	0.478984833
2.548597435	428164369	90.000000000	80.743423462	0.478984833
2.548641357	428171748	90.000000000	80.743423462	-0.521015167
2.598597363	436564357	90.000000000	80.743423462	-0.521015167
2.598597363	436564357	90.000000000	81.259307861	-0.521015167
2.598641357	436571748	90.000000000	81.259307861	1.200439453
2.648597310	444964348	90.000000000	81.259307861	1.200439453
2.648597310	444964348	90.000000000	81.527565002	1.200439453
2.648641357	444971748	90.000000000	81.527565002	1.453990936
2.698597333	453364352	90.000000000	81.527565002	1.453990936
2.698597333	453364352	90.000000000	81.667060852	1.453990936
2.698641357	453371748	90.000000000	81.667060852	1.248136520
2.748597923	461764451	90.000000000	81.667060852	1.248136520
2.748597923	461764451	90.000000000	81.739593506	1.248136520
2.748641357	461771748	90.000000000	81.739593506	1.124624252
2.798597518	470164383	90.000000000	81.739593506	1.124624252
2.798597518	470164383	90.000000000	81.050041199	1.124624252
2.798641357	470171748	90.000000000	81.050041199	-3.635028839
2.848597357	478564356	90.000000000	81.050041199	-3.635028839
2.848597357	478564356	90.000000000	78.509658813	-3.635028839
2.848641357	478571748	90.000000000	78.509658813	-7.635028839
2.898597893	486964446	90.000000000	78.509658813	-7.635028839
2.898597893	486964446	90.000000000	81.552291870	-7.635028839
2.898641357	486971748	90.000000000	81.552291870	1.259262085
2.948597399	495364363	90.000000000	81.552291870	1.259262085
2.948597399	495364363	90.000000000	85.316284180	1.259262085
2.948641357	495371748	90.000000000	85.316284180	11.460380554
2.998597399	503764363	90.000000000	85.316284180	11.460380554
2.998597399	503764363	90.000000000	88.000823975	11.460380554
