Time (sec.)	Cycles	"speed_target"	"speed_actual"	"speed_error"
0.000000000	0	0.000000000	0.000000000	0.000000000
0.000000000	0	0.000000000	0.000000000	0.000000000
0.000000000	0	0.000000000	0.000000000	0.000000000
1.049775298	176362250	90.000000000	0.000000000	0.000000000
1.049775333	176362256	90.000000000	0.000000000	0.000000000
1.049825310	176370652	90.000000000	0.000000000	-90.000000000
1.099776250	184762410	90.000000000	0.000000000	-90.000000000
1.099776286	184762416	90.000000000	7.999999523	-90.000000000
1.099825310	184770652	90.000000000	7.999999523	-82.000000000
1.149776232	193162407	90.000000000	7.999999523	-82.000000000
1.149776268	193162413	90.000000000	23.796363831	-82.000000000
1.149825310	193170652	90.000000000	23.796363831	-66.203636169
1.199776482	201562449	90.000000000	23.796363831	-66.203636169
1.199776518	201562455	90.000000000	40.010471344	-66.203636169
1.199825310	201570652	90.000000000	40.010471344	-49.989528656
1.249776244	209962409	90.000000000	40.010471344	-49.989528656
1.249776280	209962415	90.000000000	54.259986877	-49.989528656
1.249825310	209970652	90.000000000	54.259986877	-35.740013123
1.299776274	218362414	90.000000000	54.259986877	-35.740013123
1.299776310	218362420	90.000000000	64.578826904	-35.740013123
1.299825310	218370652	90.000000000	64.578826904	-25.421173096
1.349776310	226762420	90.000000000	64.578826904	-25.421173096
1.349776345	226762426	90.000000000	72.853713989	-25.421173096
1.349825310	226770652	90.000000000	72.853713989	-17.146286011
1.399776387	235162433	90.000000000	72.853713989	-17.146286011
1.399776423	235162439	90.000000000	80.065750122	-17.146286011
1.399825310	235170652	90.000000000	80.065750122	-9.934249878
1.449776280	243562415	90.000000000	80.065750122	-9.934249878
1.449776315	243562421	90.000000000	84.543281555	-9.934249878
1.449825310	243570652	90.000000000	84.543281555	-5.456718445
1.499776411	251962437	90.000000000	84.543281555	-5.456718445
1.499776446	251962443	90.000000000	86.144317627	-5.456718445
1.499825310	251970652	90.000000000	86.144317627	-3.855682373
1.549776357	260362428	90.000000000	86.144317627	-3.855682373
1.549776393	260362434	90.000000000	87.704132080	-3.855682373
1.549825310	260370652	90.000000000	87.704132080	-2.295867920
1.599776226	268762406	90.000000000	87.704132080	-2.295867920
1.599776262	268762412	90.000000000	89.242507935	-2.295867920
1.599825310	268770652	90.000000000	89.242507935	-0.757492065
1.649776411	277162437	90.000000000	89.242507935	-0.757492065
1.649776446	277162443	90.000000000	89.315193176	-0.757492065
1.649825310	277170652	90.000000000	89.315193176	-0.684806824
1.699776310	285562420	90.000000000	89.315193176	-0.684806824
1.699776345	285562426	90.000000000	90.080261230	-0.684806824
1.699825310	285570652	90.000000000	90.080261230	0.080261230
1.749776321	293962422	90.000000000	90.080261230	0.080261230
1.749776357	293962428	90.000000000	90.478096008	0.080261230
1.749825310	293970652	90.000000000	90.478096008	0.478096008
1.799776387	302362433	90.000000000	90.478096008	0.478096008
1.799776423	302362439	90.000000000	90.684967041	0.478096008
1.799825310	302370652	90.000000000	90.684967041	0.684967041
1.849776202	310762402	90.000000000	90.684967041	0.684967041
1.849776238	310762408	90.000000000	90.792541504	0.684967041
1.849825310	310770652	90.000000000	90.792541504	0.792541504
1.899776399	319162435	90.000000000	90.792541504	0.792541504
1.899776435	319162441	90.000000000	91.575752258	0.792541504
1.899825310	319170652	90.000000000	91.575752258	1.575752258
1.949776381	327562432	90.000000000	91.575752258	1.575752258
1.949776417	327562438	90.000000000	91.255752563	1.575752258
1.949825310	327570652	90.000000000	91.255752563	1.255752563
1.999776208	335962403	90.000000000	91.255752563	1.255752563
1.999776244	335962409	90.000000000	91.089355469	1.255752563
1.999825310	335970652	90.000000000	91.089355469	1.089355469
2.049776208	344362403	90.000000000	91.089355469	1.089355469
2.049776244	344362409	90.000000000	91.002822876	1.089355469
2.049825310	344370652	90.000000000	91.002822876	1.002822876
2.099776208	352762403	90.000000000	91.002822876	1.002822876
2.099776244	352762409	90.000000000	90.957824707	1.002822876
2.099825310	352770652	90.000000000	90.957824707	0.957824707
2.149776315	361162421	90.000000000	90.957824707	0.957824707
2.149776351	361162427	90.000000000	90.934432983	0.957824707
2.149825310	361170652	90.000000000	90.934432983	0.934432983
2.199776357	369562428	90.000000000	90.934432983	0.934432983
2.199776393	369562434	90.000000000	90.194992065	0.934432983
2.199825310	369570652	90.000000000	90.194992065	0.194992065
2.249776345	377962426	90.000000000	90.194992065	0.194992065
2.249776381	377962432	90.000000000	90.537750244	0.194992065
2.249825310	377970652	90.000000000	90.537750244	0.537750244
2.299776298	386362418	90.000000000	90.537750244	0.537750244
2.299776333	386362424	90.000000000	90.715988159	0.537750244
2.299825310	386370652	90.000000000	90.715988159	0.715988159
2.349776375	394762431	90.000000000	90.715988159	0.715988159
2.349776411	394762437	90.000000000	90.081405640	0.715988159
2.349825310	394770652	90.000000000	90.081405640	0.081405640
2.399776363	403162429	90.000000000	90.081405640	0.081405640
2.399776399	403162435	90.000000000	90.478691101	0.081405640
2.399825310	403170652	90.000000000	90.478691101	0.478691101
2.449776202	411562402	90.000000000	90.478691101	0.478691101
2.449776238	411562408	90.000000000	90.685272217	0.478691101
2.449825310	411570652	90.000000000	90.685272217	0.685272217
2.499776351	419962427	90.000000000	90.685272217	0.685272217
2.499776387	419962433	90.000000000	90.792701721	0.685272217
2.499825310	419970652	90.000000000	90.792701721	0.792701721
2.549776274	428362414	90.000000000	90.792701721	0.792701721
2.549776310	428362420	90.000000000	90.848564148	0.792701721
2.549825310	428370652	90.000000000	90.848564148	0.848564148
2.599776268	436762413	90.000000000	90.848564148	0.848564148
2.599776304	436762419	90.000000000	90.877609253	0.848564148
2.599825310	436770652	90.000000000	90.877609253	0.877609253
2.649776262	445162412	90.000000000	90.877609253	0.877609253
2.649776298	445162418	90.000000000	90.892715454	0.877609253
2.649825310	445170652	90.000000000	90.892715454	0.892715454
2.699776321	453562422	90.000000000	90.892715454	0.892715454
2.699776357	453562428	90.000000000	90.900573730	0.892715454
2.699825310	453570652	90.000000000	90.900573730	0.900573730
2.749776274	461962414	90.000000000	90.900573730	0.900573730
2.749776310	461962420	90.000000000	90.904655457	0.900573730
2.749825310	461970652	90.000000000	90.904655457	0.904655457
2.799776357	470362428	90.000000000	90.904655457	0.904655457
2.799776393	470362434	90.000000000	90.906784058	0.904655457
2.799825310	470370652	90.000000000	90.906784058	0.906784058
2.849776357	478762428	90.000000000	90.906784058	0.906784058
2.849776393	478762434	90.000000000	90.907882690	0.906784058
2.849825310	478770652	90.000000000	90.907882690	0.907882690
2.899776363	487162429	90.000000000	90.907882690	0.907882690
2.899776399	487162435	90.000000000	90.181190491	0.907882690
2.899825310	487170652	90.000000000	90.181190491	0.181190491
2.949776333	495562424	90.000000000	90.181190491	0.181190491
2.949776369	495562430	90.000000000	89.803314209	0.181190491
2.949825310	495570652	90.000000000	89.803314209	-0.196685791
2.999776363	503962429	90.000000000	89.803314209	-0.196685791
2.999776399	503962435	90.000000000	90.334083557	-0.196685791
2.999825310	503970652	90.000000000	90.334083557	0.334083557
